0	Welcome
1	hi hai hello hey start
2	how to buy 
3	i want to buy shirt i need to buy shirt i would like to buy shirt show me shirts
4	i want to buy phant i need to buy phant i would like to buy phant show me phants
5	i want to buy belt i need to buy belt i would like to buy belt show me belt
6	i want to buy wallet i need to buy wallet i would like to buy wallet show me wallet
7	i want to buy watch i need to buy watch i would like to buy watch show me watch
8	what are all the things do you have 
9	what is dapper clabber, what is this bot
10	how will i get delivery
11	do you have shirt
11	do you have phant
12	cash on delivery option 
13	delivery option is available in my area or not ?
14	will you deliver to my house,  office,  workplace
15	Thank you
16	what is the owner name
17	where is your office located
18	please share me your office location, contact customer support, customer care number, customer support, customer queries
19	whether it is cotton or jeans
20	ok
21	home delivery.
22	No.
23	How this bot works ?
24	any cashback offer?
25	Can i exchange product
26  Online shopping.
27  what are the things available here tell me available things
28  i am not getting preper response
29  do you know
30  who is your dealer
31  within how many days i will get my product
32  how to use this service bot chatbot it is working
33  i have defect in my phant shirt wallet belt size not matching size defect 
34  i want to replace my order
35  Feedback good bad poor worst.
